Source IP,Destination IP,Packet Size,Source Port,Destination Port,Protocol,Timestamp
/142.250.184.10,/192.168.0.109,1102,443,63048,6 (TCP),1736086479091
/192.168.0.109,/142.250.184.10,89,63048,443,6 (TCP),1736086479100
/192.168.0.109,/142.250.184.10,89,63048,443,6 (TCP),1736086479100
/142.250.184.10,/192.168.0.109,54,443,63048,6 (TCP),1736086479100
/142.250.184.10,/192.168.0.109,54,443,63048,6 (TCP),1736086479100
/192.168.0.109,/142.250.184.4,54,63239,443,6 (TCP),1736086479100
/192.168.0.109,/137.184.250.43,54,63220,443,6 (TCP),1736086480101
/192.168.0.109,/142.250.200.67,55,63039,443,6 (TCP),1736086483105
/142.250.200.67,/192.168.0.109,66,443,63039,6 (TCP),1736086483108
/192.168.0.109,/142.250.184.10,55,63087,443,6 (TCP),1736086483109
/142.250.184.10,/192.168.0.109,66,443,63087,6 (TCP),1736086483109
/192.168.0.109,/192.168.0.1,54,63226,53,6 (TCP),1736086485111
/140.82.112.26,/192.168.0.109,79,443,63227,6 (TCP),1736086485111
/192.168.0.109,/140.82.112.26,83,63227,443,6 (TCP),1736086485112
/140.82.112.26,/192.168.0.109,54,443,63227,6 (TCP),1736086485112
/192.168.0.109,/172.217.168.174,3143,63118,443,6 (TCP),1736086487113
/192.168.0.109,/172.217.168.174,93,63118,443,6 (TCP),1736086487114
/192.168.0.109,/172.217.168.174,699,63118,443,6 (TCP),1736086487114
/172.217.168.174,/192.168.0.109,54,443,63118,6 (TCP),1736086487115
/172.217.168.174,/192.168.0.109,66,443,63118,6 (TCP),1736086487115
/172.217.168.174,/192.168.0.109,66,443,63118,6 (TCP),1736086487116
/172.217.168.174,/192.168.0.109,66,443,63118,6 (TCP),1736086487116
/172.217.168.174,/192.168.0.109,54,443,63118,6 (TCP),1736086487118
/172.217.168.174,/192.168.0.109,93,443,63118,6 (TCP),1736086487118
/172.217.168.174,/192.168.0.109,592,443,63118,6 (TCP),1736086487119
/192.168.0.109,/172.217.168.174,54,63118,443,6 (TCP),1736086487119
/172.217.168.174,/192.168.0.109,380,443,63118,6 (TCP),1736086487120
/172.217.168.174,/192.168.0.109,85,443,63118,6 (TCP),1736086487120
/172.217.168.174,/192.168.0.109,93,443,63118,6 (TCP),1736086487121
/192.168.0.109,/172.217.168.174,54,63118,443,6 (TCP),1736086487121
/192.168.0.109,/172.217.168.174,89,63118,443,6 (TCP),1736086487122
/192.168.0.109,/172.217.168.174,93,63118,443,6 (TCP),1736086487123
/192.168.0.109,/20.199.120.151,98,62100,443,6 (TCP),1736086487123
/172.217.168.174,/192.168.0.109,54,443,63118,6 (TCP),1736086487124
/20.199.120.151,/192.168.0.109,229,443,62100,6 (TCP),1736086487124
/192.168.0.109,/20.199.120.151,54,62100,443,6 (TCP),1736086487124
/192.168.0.109,/142.250.184.4,54,63239,443,6 (TCP),1736086489126
/192.168.0.109,/157.240.212.61,59,63246,80,6 (TCP),1736086490128
/192.168.0.109,/157.240.212.61,54,63246,80,6 (TCP),1736086490128
/157.240.212.61,/192.168.0.109,54,80,63246,6 (TCP),1736086490128
/192.168.0.109,/157.240.212.61,54,63246,80,6 (TCP),1736086490128
/192.168.0.109,/104.18.32.47,55,63205,443,6 (TCP),1736086490128
/104.18.32.47,/192.168.0.109,66,443,63205,6 (TCP),1736086490128
/192.168.0.109,/157.240.212.60,124,62758,443,6 (TCP),1736086491129
/157.240.212.60,/192.168.0.109,126,443,62758,6 (TCP),1736086491129
/192.168.0.109,/157.240.212.60,54,62758,443,6 (TCP),1736086491130
